・0157

◆ バクフーンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
すてみタックル	ノーマル	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。
メガトンキック	ノーマル	物理	120	75	8	○	通常攻撃。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
ほしがる	ノーマル	物理	60	100	20	○	相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
でんこうせっか	ノーマル	物理	40	100	20	○	必ず先制できる(優先度:+1)。
がむしゃら	ノーマル	物理	-	100	8	○	相手の残りHPから自分の残りHPを引いた分のダメージを与える。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
とおぼえ	ノーマル	変化	-	-	20	×	自分と味方全体の『こうげき』ランクを1段階ずつ上げる(第7世代までは、対象は自分のみ)。第8世代からは、音系の技。この技は『ダイウォール』の効果も受けない。
てだすけ	ノーマル	変化	-	-	20	×	必ず先制できる(優先度:+5)。使用したターンの間、味方の技の威力を1.5倍にする。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
ほえる	ノーマル	変化	-	-	20	×	必ず後攻になる(優先度:-6)。相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない。音系の技。相手の『みがわり』状態を貫通する。ダイマックスしている相手には無効。野生のポケモンの場合、相手が自分のレベルより高い場合は失敗する。
ソーラービーム	くさ	特殊	120	100	12	×	1ターン目は攻撃せずに、2ターン目で攻撃する。天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。
フレアドライブ	ほのお	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。10%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
やけっぱち	ほのお	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
ほのおのパンチ	ほのお	物理	75	100	16	○	10%の確率で相手を『やけど』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
ほのおのキバ	ほのお	物理	65	95	16	○	10%の確率で相手を『やけど』状態にする。10%の確率で、相手をひるませる。
ニトロチャージ	ほのお	物理	50	100	20	○	100%の確率で自分の『すばやさ』ランクが1段階上がる。
ブラストバーン	ほのお	特殊	150	90	8	×	使用した次のターンは行動できない。
ふんか	ほのお	特殊	150	100	8	×	相手全体が対象。自分のHPが少ないほど技の威力が下がる。(150×自分の残りHP÷自分の最大HP)が威力。
もえつきる	ほのお	特殊	130	100	8	×	攻撃後、自分は『ほのお』タイプではなくなる。自分が『ほのお』タイプではない時は失敗する。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
オーバーヒート	ほのお	特殊	130	90	8	×	攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
だいもんじ	ほのお	特殊	110	85	8	×	10%の確率で相手を『やけど』状態にする。
れんごく	ほのお	特殊	100	50	8	×	100%の確率で相手を『やけど』状態にする。
ねっぷう	ほのお	特殊	95	90	12	×	相手全体が対象。10%の確率で相手を『やけど』状態にする。
かえんほうしゃ	ほのお	特殊	90	100	16	×	10%の確率で相手を『やけど』状態にする。
ふんえん	ほのお	特殊	80	100	16	×	自分以外全員が対象。30%の確率で相手を『やけど』状態にする。
しっとのほのお	ほのお	特殊	70	100	8	×	相手全体が対象。100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを『やけど』状態にする(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。
ほのおのうず	ほのお	特殊	35	85	16	×	相手を『バインド』状態にして、4~5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
おにび	ほのお	変化	-	85	16	×	相手を『やけど』状態にする。『ほのお』タイプには無効。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
ワイルドボルト	でんき	物理	90	100	16	○	相手に与えたダメージの1/4を自分も受ける。
かみなりパンチ	でんき	物理	75	100	16	○	10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
つばめがえし	ひこう	物理	60	-	20	○	自分の命中率、相手の回避率に関係なく必ず命中する。
いわなだれ	いわ	物理	75	90	12	×	相手全体が対象。30%の確率で相手をひるませる。
がんせきふうじ	いわ	物理	60	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
じしん	じめん	物理	100	100	12	×	自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
あなをほる	じめん	物理	80	100	12	○	1ターン目に地中に潜り、2ターン目に攻撃する。地中にいる間は『じしん』『マグニチュード』以外の技を受けない。
じだんだ	じめん	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
じならし	じめん	物理	60	100	20	×	自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
ねっさのだいち	じめん	特殊	70	100	12	×	30%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
きあいパンチ	かくとう	物理	150	100	20	○	必ず後攻になり(優先度:-3)、攻撃するまでに技を受けると失敗してしまう。特性『てつのこぶし』の時、威力が1.2倍になる。
かわらわり	かくとう	物理	75	100	16	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
きしかいせい	かくとう	物理	-	100	16	○	自分の残りHPが少ないほど威力が高くなる。(威力は20~200)
けたぐり	かくとう	物理	-	100	20	○	相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、200kg未満は100、それ以上は120。ダイマックスしている相手には無効。
きあいだま	かくとう	特殊	120	70	8	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
しねんのずつき	エスパー	物理	80	90	16	○	20%の確率で相手をひるませる。
じんつうりき	エスパー	特殊	80	100	20	×	10%の確率で相手をひるませる。
